distance,speed,direction,intent,signal,severity
0.3745038397520228,0.9513233011338543,0.0,0.7818409530379026,0.5970601710132595,3
0.4458328062324212,0.09987190329917675,0.0,0.8685916058993164,0.60133120111166,3
0.7082062750189955,0.02041503774516701,1.0,0.723971611251111,0.9392575709426527,3
0.0005520087966820464,0.9928552842097759,0.0,0.30493257924048756,0.5248620395718679,3
0.4319379944911063,0.2912861936106559,0.0,0.4008448552408699,0.046078906782389795,3
0.9740246146049099,0.23277946889916812,1.0,0.7873427528595696,0.19930860994713373,3
0.5142693509684061,0.5927236926607176,0.0,0.8623367232887567,0.6806384134671155,3
0.450501683510731,0.013089378690219847,0.0,0.968352820429938,0.8089137208682629,3
0.304541853895854,0.09756717420925529,1.0,0.24152172829105586,0.6835986745140727,3
0.6100803731122064,0.8337055512398102,0.0,0.9118683140536104,0.25850040616098013,3
0.6626327680306382,0.3117852713986642,1.0,0.2083363586369369,0.5678681265100611,3
0.03110209655460352,0.8428030216553918,1.0,0.9421395009442824,0.8954688899011825,0
0.5979775293764927,0.9224590926964654,1.0,0.5719515437306257,0.5209341879313347,3
0.9614347072554974,0.8450539780506304,0.0,0.27193838667141423,0.8292833382407465,2
0.3567079830128895,0.2809829472399955,1.0,0.2766028127717753,0.29604822786278695,3
0.16512400922449783,0.015462808999712422,0.0,0.7743718623081146,0.19834912181500908,3
0.005297777407376393,0.8159572263175788,0.0,0.7132820755480721,0.7906655247158609,0
0.606041632917972,0.926889440966635,1.0,0.11598109457068935,0.8636990232048434,3
0.6233886209118806,0.3309882782481237,1.0,0.3717129752591609,0.6691555222278767,3
0.6660345730543378,0.591605976841475,1.0,0.8896927845573014,0.4722444432260282,3
0.11942804017562406,0.7136550371615539,0.0,0.7237015335546196,0.2356723328198428,0
0.2559716675341278,0.04028074524265487,0.0,0.42860987897526387,0.024801601375614823,3
0.1077192571871746,0.031268805357208676,0.0,0.47658591833085917,0.5634369627968641,3
0.6956433845532282,0.13926138045887845,0.0,0.41139910870391827,0.7559909801525229,3
0.22868761272369978,0.0768576521557013,0.0,0.6966742261786756,0.8810885832449977,3
0.6244450803415017,0.29569442553596514,0.0,0.8738922734319536,0.8041816065791618,3
0.18643798563968117,0.89311932143393,0.0,0.3250970723412367,0.12161042377816589,3
0.3562522622681089,0.9074007069798724,0.0,0.2283912378836751,0.42707198316544925,3
0.8182044923799631,0.8612642681223807,0.0,0.1649176624955737,0.5342085432175196,2
0.4848498986764577,0.6928288674088291,1.0,0.33840796178869137,0.9436208755785549,3
0.32314049023637575,0.5190381276315869,0.0,0.4048322583519886,0.06433188616188823,3
0.2538176615320275,0.24689599593838132,0.0,0.4985313668536381,0.30065970058845115,3
0.2847585021543339,0.03673113477616549,0.0,0.9793694605021597,0.4109779343851667,3
0.032840422441840884,0.3451733633832526,0.0,0.2400536597901437,0.14445036982781834,3
0.48947504348160725,0.9862886878594062,1.0,0.5942726086212679,0.08031607999754287,3
0.36961568711252735,0.24217592432258214,1.0,0.36866853803484956,0.6325671900700862,3
0.6336254191112374,0.5360364043928332,1.0,0.80055234547309,0.15028147401407765,3
0.5082306133743484,0.6962084674245836,0.0,0.5924632903658883,0.6778912640913834,3
0.016369128569663445,0.5123349588120674,0.0,0.3494927034212308,0.09566149563624515,3
0.9407754242814824,0.39771807578801255,0.0,0.9393620474968792,0.1370657630631681,3
0.3410130129021736,0.113381806076669,0.0,0.5428665261141149,0.6961376875979213,3
0.2284393425692666,0.17491466741503295,1.0,0.5566615847739775,0.5297632739305402,3
0.24174839083488506,0.0929940037970021,1.0,0.5597637211197188,0.883260227816526,3
0.18857612418782113,0.27891806343176206,0.0,0.7279406654645801,0.897755105503788,3
0.8873113513331073,0.7803415609144592,1.0,0.8532970988212911,0.9363356307540509,3
0.7855137260414363,0.6693614651410003,1.0,0.008981606110922148,0.10096415554396188,2
0.6636127519541567,0.004879135744009275,1.0,0.3060576399642913,0.48566267564641885,3
0.4484255170010221,0.9951030671877653,1.0,0.7141219145418319,0.23693833131775643,3
0.32533837590077047,0.7469294800673919,1.0,0.7462114287934442,0.7213296423846614,1
0.3079906332621404,0.5428076131452849,0.0,0.36860100167456034,0.26493209305247745,3
0.24388683256074148,0.9736382098211167,0.0,0.4879927596647156,0.9067566503300859,3
0.4343885896066339,0.35018471368117104,0.0,0.5784312857237792,0.4925766140688379,3
0.1951153344888974,0.722870071066658,0.0,0.5735165583878007,0.7690126864987852,1
0.04339883938305487,0.9951961932488774,1.0,0.9566134350235387,0.9155349470550493,0
0.370120188281771,0.015282868316002115,1.0,0.3315220200764311,0.5529111363444614,3
0.5723569695215144,0.9809653659556274,1.0,0.2951091629940181,0.38500108475916295,3
